DTMNFR;ORGAO;TIPO;SIGLA;SIMBOLO;NOME_LISTA;NUM_ORDEM;NOME_CANDIDATO;PARTIDO_PROPONENTE;INDEPENDENTE
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;1;João Luís Serrenho Frazão Couvaneiro;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;2;Débora Figueiredo Carvalho Rodrigues;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;3;Ivo Filipe Esteves de Almeida;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;4;José Joaquim Machado Courinha Leitão;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;5;Ana Paula Alves da Silva;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;6;Sérgio Cantante Faria de Bastos;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;7;Henrique Alexandre Margarido de Almeida;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;8;Maria Tomaz Queluz Fernandes Palma;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;9;João Pedro Eixa dos Santos;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;10;Marta Ferreira Cortez dos Santos;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;11;Filipe Martins Vaz;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;12;Vítor Manuel dos Santos Castanheira;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;13;Rosa Maria Varela Ferreira Mendes;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;14;José Antonio Lino Craveiro;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;15;Pedro Miguel Dias Rodrigues Pereira;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;16;Olga Natália Maria Mariano;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;17;António Ferrão da Costa;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;18;José Maria Marques da Costa Cortez;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;19;Maria João Louro Belchior Rita;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;20;Luísa Maria Freire Galvão;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;21;António José Brigas Alves;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;22;Maria José Bruno Esteves;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;23;Ana Isabel Palhais de Melo Cardoso Póvoa Figueiredo;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;24;Rogério Celestino Gomes Gonçalves;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;25;Sónia Maria Pereira Farinha;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;26;Rúben José Almeida Martins Raposo;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;27;Ana Catarina Braz Tavares;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;28;Manuel Pereira Fernandes;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;29;Mariama Embaló;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;30;Jaime João dos Santos Rocha;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;31;Maria Conceição Alves Freitas;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;32;Vitória de Los Angeles Reyes Cortes Ferreira;PAN;N
1503000000;CM;2;PAN;;PESSOAS – ANIMAIS – NATUREZA;33;Carlos Manuel de Carvalho Gonçalves;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;1;Joana Correia Rosinha Sério;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;2;Feliciano José do Livramento dos Reis;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;3;António José Lopes Ferreira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;4;Cláudia Isabel Fernandes Ferraz Patrício;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;5;José Paulo Nobre Saramago;PAN;N
